id,tier,points,bonus,white,blue,green,red,black
0,1,0,black,1,1,1,1,0
1,1,0,black,1,2,1,1,0
2,1,0,black,2,2,0,1,0
3,1,0,black,0,0,1,3,1
4,1,0,black,0,0,2,1,0
5,1,0,black,2,0,2,0,0
6,1,0,black,0,0,3,0,0
7,1,1,black,0,4,0,0,0
8,1,0,blue,1,0,1,1,1
9,1,0,blue,1,0,1,2,1
10,1,0,blue,1,0,2,2,0
11,1,0,blue,0,1,3,1,0
12,1,0,blue,1,0,0,0,2
13,1,0,blue,0,0,2,0,2
14,1,0,blue,0,0,0,0,3
15,1,1,blue,0,0,0,4,0
16,1,0,white,0,1,1,1,1
17,1,0,white,0,1,2,1,1
18,1,0,white,0,2,2,0,1
19,1,0,white,3,1,0,0,1
20,1,0,white,0,0,0,2,1
21,1,0,white,0,2,0,0,2
22,1,0,white,0,3,0,0,0
23,1,1,white,0,0,4,0,0
24,1,0,green,1,1,0,1,1
25,1,0,green,1,1,0,1,2
26,1,0,green,0,1,0,2,2
27,1,0,green,1,3,1,0,0
28,1,0,green,2,1,0,0,0
29,1,0,green,0,2,0,2,0
30,1,0,green,0,0,0,3,0
31,1,1,green,0,0,0,0,4
32,1,0,red,1,1,1,0,1
33,1,0,red,2,1,1,0,1
34,1,0,red,2,0,1,0,2
35,1,0,red,1,0,0,1,3
36,1,0,red,0,2,1,0,0
37,1,0,red,2,0,0,2,0
38,1,0,red,3,0,0,0,0
39,1,1,red,4,0,0,0,0
40,2,1,black,3,2,2,0,0
41,2,1,black,3,0,3,0,2
42,2,2,black,0,1,4,2,0
43,2,2,black,0,0,5,3,0
44,2,2,black,5,0,0,0,0
45,2,3,black,0,0,0,0,6
46,2,1,blue,0,2,2,3,0
47,2,1,blue,0,2,3,0,3
48,2,2,blue,5,3,0,0,0
49,2,2,blue,2,0,0,1,4
50,2,2,blue,0,5,0,0,0
51,2,3,blue,0,6,0,0,0
52,2,1,white,0,0,3,2,2
53,2,1,white,2,3,0,3,0
54,2,2,white,0,0,1,4,2
55,2,2,white,0,0,0,5,3
56,2,2,white,0,0,0,5,0
57,2,3,white,6,0,0,0,0
58,2,1,green,3,0,2,3,0
59,2,1,green,2,3,0,0,2
60,2,2,green,4,2,0,0,1
61,2,2,green,0,5,3,0,0
62,2,2,green,0,0,5,0,0
63,2,3,green,0,0,6,0,0
64,2,1,red,2,0,0,2,3
65,2,1,red,0,3,0,2,3
66,2,2,red,1,4,2,0,0
67,2,2,red,3,0,0,0,5
68,2,2,red,0,0,0,0,5
69,2,3,red,0,0,0,6,0
70,3,3,black,3,3,5,3,0
71,3,4,black,0,0,0,7,0
72,3,4,black,0,0,3,6,3
73,3,5,black,0,0,0,7,3
74,3,3,blue,3,0,3,3,5
75,3,4,blue,7,0,0,0,0
76,3,4,blue,6,3,0,0,3
77,3,5,blue,7,3,0,0,0
78,3,3,white,0,3,3,5,3
79,3,4,white,0,0,0,0,7
80,3,4,white,3,0,0,3,6
81,3,5,white,3,0,0,0,7
82,3,3,green,5,3,0,3,3
83,3,4,green,0,7,0,0,0
84,3,4,green,3,6,3,0,0
85,3,5,green,0,7,3,0,0
86,3,3,red,3,5,3,0,3
87,3,4,red,0,0,7,0,0
88,3,4,red,0,3,6,3,0
89,3,5,red,0,0,7,3,0
